name;id;category;url
Chesalles-sur-Moudon;dhs-002466;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002466/2017-01-11/
Chesalles-sur-Oron;dhs-002553;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002553/2017-01-05/
Cheseaux-Noréaz;dhs-002630;commune;https://hls-dhs-dss.ch/fr/articles/002630/2003-12-30/
Cheseaux-sur-Lausanne;dhs-002404;commune;https://hls-dhs-dss.ch/fr/articles/002404/2005-05-04/
Chessel;dhs-002278;commune;https://hls-dhs-dss.ch/fr/articles/002278/2004-01-27/
Chevilly;dhs-002326;commune;https://hls-dhs-dss.ch/fr/articles/002326/2005-07-14/
Chevroux;dhs-002575;commune;https://hls-dhs-dss.ch/fr/articles/002575/2019-04-03/
Chexbres;dhs-002415;commune;https://hls-dhs-dss.ch/fr/articles/002415/2005-07-14/
Chigny;dhs-002433;commune;https://hls-dhs-dss.ch/fr/articles/002433/2003-12-30/
Châtaigneraie;dhs-041243;ancienne commune;https://hls-dhs-dss.ch/fr/articles/041243/2005-07-14/
Château-d'Œx;dhs-002593;commune;https://hls-dhs-dss.ch/fr/articles/002593/2017-05-01/
Châtelard, Le (VD);dhs-003327;ancienne commune;https://hls-dhs-dss.ch/fr/articles/003327/2005-09-08/
Châtillens;dhs-002552;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002552/2017-01-05/
Chéserex;dhs-002501;commune;https://hls-dhs-dss.ch/fr/articles/002501/2003-12-30/
Chêne-Pâquier;dhs-002629;commune;https://hls-dhs-dss.ch/fr/articles/002629/2005-07-14/
Clarmont;dhs-002434;commune;https://hls-dhs-dss.ch/fr/articles/002434/2003-12-22/
Clées, Les;dhs-002534;commune;https://hls-dhs-dss.ch/fr/articles/002534/2011-02-02/
Coinsins;dhs-002502;commune;https://hls-dhs-dss.ch/fr/articles/002502/2003-12-23/
Colombier (VD);dhs-002435;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002435/2017-01-04/
Combremont-le-Grand;dhs-002576;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002576/2017-01-12/
Combremont-le-Petit;dhs-002577;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002577/2017-01-05/
Commugny;dhs-002503;commune;https://hls-dhs-dss.ch/fr/articles/002503/2005-08-09/
Concise;dhs-002386;commune;https://hls-dhs-dss.ch/fr/articles/002386/2019-04-03/
Constantine;dhs-002312;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002312/2017-01-12/
Coppet;dhs-002504;commune;https://hls-dhs-dss.ch/fr/articles/002504/2004-03-02/
Corbeyrier;dhs-002279;commune;https://hls-dhs-dss.ch/fr/articles/002279/2004-03-02/
Corcelles-le-Jorat;dhs-002554;commune;https://hls-dhs-dss.ch/fr/articles/002554/2020-02-14/
Corcelles-près-Concise;dhs-002387;commune;https://hls-dhs-dss.ch/fr/articles/002387/2019-04-03/
Corcelles-près-Payerne;dhs-002578;commune;https://hls-dhs-dss.ch/fr/articles/002578/2004-03-02/
Corcelles-sur-Chavornay;dhs-002535;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002535/2017-01-11/
Correvon;dhs-002467;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002467/2017-01-04/
Corseaux;dhs-002614;commune;https://hls-dhs-dss.ch/fr/articles/002614/2005-08-11/
Corsier-sur-Vevey;dhs-002615;commune;https://hls-dhs-dss.ch/fr/articles/002615/2010-09-23/
Cossonay (commune);dhs-002327;commune;https://hls-dhs-dss.ch/fr/articles/002327/2018-02-05/
Cottens (VD);dhs-002328;commune;https://hls-dhs-dss.ch/fr/articles/002328/2004-03-03/
Crans-près-Céligny;dhs-002505;commune;https://hls-dhs-dss.ch/fr/articles/002505/2004-03-16/
Crassier;dhs-002506;commune;https://hls-dhs-dss.ch/fr/articles/002506/2005-08-17/
Cremin;dhs-002468;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002468/2017-01-11/
Crissier;dhs-002405;commune;https://hls-dhs-dss.ch/fr/articles/002405/2005-08-17/
Cronay;dhs-002631;commune;https://hls-dhs-dss.ch/fr/articles/002631/2011-01-27/
Croy;dhs-002536;commune;https://hls-dhs-dss.ch/fr/articles/002536/2005-08-17/
Cuarnens;dhs-002329;commune;https://hls-dhs-dss.ch/fr/articles/002329/2005-08-17/
Cuarny;dhs-002632;commune;https://hls-dhs-dss.ch/fr/articles/002632/2010-04-01/
Cudrefin;dhs-002313;commune;https://hls-dhs-dss.ch/fr/articles/002313/2017-01-04/
Cugy (VD);dhs-002359;commune;https://hls-dhs-dss.ch/fr/articles/002359/2005-09-08/
Cullayes, Les;dhs-002555;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002555/2017-01-05/
Cully;dhs-002416;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002416/2017-05-04/
Curtilles;dhs-002469;commune;https://hls-dhs-dss.ch/fr/articles/002469/2005-08-17/
Daillens;dhs-002330;commune;https://hls-dhs-dss.ch/fr/articles/002330/2016-01-06/
Denens;dhs-002436;commune;https://hls-dhs-dss.ch/fr/articles/002436/2005-08-22/
Denezy;dhs-002470;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002470/2017-01-04/
